Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Have Mortgage,Home Mortgage,Own Home,Rent,business loan,buy a car,buy house,debt consolidation,educational expenses,home improvements,major purchase,medical bills,moving,other,renewable energy,small business,take a trip,vacation,wedding,Loan-to-Income Ratio,Credit Utilization Ratio,Delinquency Ratio,Debt-to-Income Ratio
Rent,2066364.0,10,0.0,11.0,17.7,1654026.0,0.0,0.0,0.0,debt consolidation,1,777483.2999999999,766592.9999999992,21869.0,728.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3762567001747998,0.4634709490660964,0.0,0.12699988966126008
Own Home,2258796.0,7,0.0,11.0,17.7,1602546.0,0.0,0.0,0.0,other,0,777483.2999999999,766592.9999999992,40546.2,748.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3442025309058454,0.47835943554818344,0.0,0.2154043127400615
Rent,848464.0,10,0.0,9.0,18.4,296186.0,0.0,0.0,0.0,debt consolidation,0,145134.0,41439.0,12939.0,727.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1710549887797243,0.1399087060158144,0.0,0.18299892511644572
Rent,1168386.0,7,0.0,6.0,17.8,899492.0,0.0,0.0,0.0,debt consolidation,1,538346.0,538346.0,18844.0,731.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.46076039938855823,0.5985000422460678,0.0,0.19353877913634707
Home Mortgage,2622773.3,3,0.0,14.0,28.5,1042096.0,0.0,0.0,0.0,debt consolidation,1,689396.0,689396.0,40546.2,671.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2628500145247018,0.6615474965838081,0.0,0.18551142029698106
Home Mortgage,1401744.0,2,0.0,9.0,29.0,387222.0,0.0,40.0,0.0,debt consolidation,1,553586.0,201989.0,13434.0,695.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3949266057140248,0.5216361673665236,1.3793103448275863,0.11500530767386913
Rent,1020072.0,2,0.0,6.0,12.5,199078.0,0.0,0.0,0.0,debt consolidation,0,309672.0,120517.0,14451.0,712.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3035785709244053,0.6053757823566642,0.0,0.16999976472249018
Home Mortgage,1651993.0,10,0.0,11.0,26.5,663894.0,0.0,44.0,0.0,debt consolidation,1,585090.0,252852.0,8742.0,697.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3541722029088501,0.3808620050791241,1.6603773584905661,0.06350147972781967
Home Mortgage,1047394.0,6,0.0,7.0,31.9,401104.0,0.0,45.0,0.0,debt consolidation,0,324852.0,183597.0,7786.0,719.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3101526264232944,0.4577291674977063,1.4106583072100314,0.08920425360466071
Rent,463790.0,10,0.0,6.0,28.3,288442.0,0.0,0.0,0.0,debt consolidation,0,349701.0,157700.0,5063.0,738.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7540072015351775,0.5467303652034031,0.0,0.1309989434873542
Own Home,1168386.0,10,0.0,17.0,14.8,700040.0,0.0,17.0,0.0,debt consolidation,0,174878.0,168074.0,17132.0,731.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.14967485060587854,0.24009199474315754,1.1486486486486487,0.17595554893673837
Own Home,1168386.0,10,0.0,12.0,25.0,1216336.0,0.0,61.0,0.0,debt consolidation,0,777483.2999999999,766592.9999999992,37530.0,731.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6654335981430793,0.6302477276015831,2.44,0.3854548068874499
Rent,1353142.0,10,0.0,3.0,29.8,1231912.0,0.0,0.0,0.0,other,0,777483.2999999999,766592.9999999992,22225.0,720.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5745762824596383,0.6222790264239647,0.0,0.1970968309312696
Home Mortgage,951425.0,2,0.0,20.0,15.8,748880.0,0.0,0.0,0.0,other,0,285874.0,285874.0,17046.0,742.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3004692960559161,0.38173539151800023,0.0,0.21499540163439051
Rent,1004055.0,8,0.0,7.0,14.5,328394.0,0.0,0.0,0.0,debt consolidation,0,349701.0,195966.0,6041.0,734.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3482886893646264,0.5967405007399648,0.0,0.07219923211377863
Home Mortgage,711094.0,10,0.0,12.0,19.5,533808.0,0.0,0.0,0.0,debt consolidation,0,262314.0,262314.0,13807.0,740.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.36888793886602894,0.49140140275155114,0.0,0.23299873153197748
Rent,1168386.0,10,0.0,9.0,18.6,186494.0,0.0,6.0,0.0,debt consolidation,0,357918.0,72808.0,22352.0,731.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.30633540627840455,0.3904039808251204,0.3225806451612903,0.22956796812012467
Rent,612750.0,7,0.0,8.0,14.0,225016.0,1.0,0.0,1.0,debt consolidation,0,349701.0,147687.0,6128.0,719.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5707074663402693,0.656339993600455,0.0,0.12000979192166462
Own Home,1289796.0,10,0.0,11.0,20.5,845548.0,0.0,0.0,0.0,debt consolidation,1,349701.0,640433.0,26549.0,708.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2711289227133593,0.7574176746914427,0.0,0.24700650335401877
Home Mortgage,1526840.0,10,0.0,19.0,25.0,1303082.0,0.0,14.0,0.0,debt consolidation,0,495178.0,495178.0,28247.0,726.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.32431557989049276,0.38000524909407085,0.56,0.22200361531005214
Home Mortgage,1168386.0,0,0.0,13.0,21.0,111604.90000000002,0.0,11.0,0.0,other,0,79464.0,60287.0,14003.0,731.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.06801177008283221,0.540182375505018,0.5238095238095238,0.14381890916186946
Rent,1899050.0,3,0.0,6.0,10.2,802692.0,0.0,0.0,0.0,take a trip,0,550430.0,550430.0,21839.0,722.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2898449224612306,0.6857300184877886,0.0,0.1379995260788289
Rent,1168386.0,0,0.0,9.0,31.4,1457104.0,0.0,32.0,0.0,buy a car,0,254201.0,254201.0,7020.0,731.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2175659413926562,0.17445631883516893,1.019108280254777,0.07209946028110573
Home Mortgage,1168386.0,6,0.0,8.0,14.5,409222.0,0.0,14.0,0.0,other,1,667458.0,206758.0,18846.0,731.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5712649757871114,0.505246540997307,0.9655172413793104,0.1935593202931223
Rent,1168386.0,5,0.0,13.0,18.0,608652.0,0.0,0.0,0.0,debt consolidation,0,221825.0,221825.0,10806.0,731.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1898559209028523,0.3644529221952774,0.0,0.11098387005664224
Rent,1395645.0,6,0.0,15.0,17.6,1480182.0,0.0,75.0,0.0,debt consolidation,0,120670.0,58805.0,10200.0,750.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08646181514640185,0.039728222610462764,4.261363636363636,0.08770138538095289
Home Mortgage,852017.0,7,3.0,12.0,7.6,337722.0,3.0,0.0,0.0,debt consolidation,0,175384.0,160417.0,21868.0,727.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.20584565800917118,0.4749971870354907,0.0,0.3079938545827137
Rent,709821.0,10,0.0,13.0,23.7,339724.0,0.0,65.0,0.0,debt consolidation,1,246004.0,198341.0,14670.0,671.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3465718822069226,0.5838298147908302,2.7426160337552745,0.24800618747543396
Rent,1350349.0,10,0.0,20.0,15.0,763422.0,0.0,10.0,0.0,debt consolidation,0,306584.0,306584.0,9014.0,721.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.22704056506873407,0.4015917801687664,0.6666666666666666,0.08010373614524838
Own Home,1168386.0,4,0.0,20.0,10.9,625042.0,0.0,28.0,0.0,debt consolidation,1,326810.0,300675.0,13844.0,731.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2797106435715594,0.4810476735963343,2.568807339449541,0.14218588719823758
Home Mortgage,1168386.0,10,0.0,10.0,9.4,348678.0,0.0,0.0,0.0,debt consolidation,0,191136.0,165927.0,12031.0,731.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1635897725580416,0.47587458916249376,0.0,0.12356532858147906
Have Mortgage,1334256.0,10,0.0,17.0,15.4,1706333.1999999997,1.0,35.0,0.0,take a trip,0,656450.0,656450.0,34357.0,729.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.49199703804966965,0.38471384135290815,2.2727272727272725,0.30899917257257975
Home Mortgage,1168386.0,10,0.0,10.0,21.4,1104554.0,1.0,0.0,1.0,debt consolidation,1,774092.0,595251.0,28897.0,731.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6625310471025843,0.5389062010549054,0.0,0.29678890366711
Home Mortgage,1721457.0,10,0.0,6.0,27.3,263604.0,0.0,6.0,0.0,debt consolidation,0,349701.0,121353.0,23527.0,723.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.20314245432793268,0.4603609960395138,0.21978021978021978,0.16400293472331867
Own Home,1168386.0,5,0.0,18.0,18.0,1447468.0,0.0,0.0,0.0,debt consolidation,0,612541.0,612541.0,24039.0,731.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5242625296776922,0.4231810305996402,0.0,0.24689443386004284
Home Mortgage,1168386.0,8,0.0,14.0,18.7,252670.0,0.0,29.0,0.0,home improvements,1,323796.0,94696.0,25005.0,731.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2771310166332017,0.37478133533858393,1.5508021390374331,0.2568158125824856
Rent,1168386.0,5,0.0,8.0,17.0,181742.0,0.0,13.0,0.0,debt consolidation,0,355344.0,108300.0,19012.0,731.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3041323672142597,0.595899681966744,0.7647058823529411,0.19526423630546755
Rent,665931.0,3,0.0,6.0,22.2,279642.0,0.0,0.0,0.0,debt consolidation,1,220308.0,181127.0,9379.0,716.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3308270676691729,0.6477102867237396,0.0,0.1690085008807219
Home Mortgage,1521672.0,3,0.0,12.0,10.4,900878.0,0.0,0.0,0.0,debt consolidation,0,242744.0,242744.0,20416.0,742.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.15952452302467285,0.2694526894873668,0.0,0.16100184533854864
Rent,916560.0,3,0.0,8.0,9.5,564168.0,0.0,0.0,0.0,debt consolidation,0,265320.0,183198.0,13137.0,744.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2894736842105263,0.32472242310801036,0.0,0.17199528672427336
Home Mortgage,2276808.0,10,0.0,19.0,31.9,1685794.0,0.0,8.0,0.0,debt consolidation,1,768922.0,267881.0,13889.0,707.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.33771929824561403,0.15890494330861304,0.25078369905956116,0.07320248347686761
Home Mortgage,1168386.0,10,0.0,7.0,17.6,293766.0,1.0,71.0,1.0,debt consolidation,0,175516.0,149948.0,3767.0,731.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1502209030234871,0.5104334742618274,4.034090909090909,0.038689268786171696
Rent,1168386.0,6,0.0,7.0,18.0,111604.90000000002,0.0,13.0,0.0,small business,1,130328.0,39235.0,18351.0,731.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.11154532834183224,0.3515526648023518,0.7222222222222222,0.18847538399124947
Rent,1520969.0,10,0.0,7.0,19.2,458590.0,0.0,0.0,0.0,home improvements,0,468138.0,2774.0,12865.0,748.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.30778931063026266,0.006048976209686212,0.0,0.10150108253356906
Rent,719549.0,2,0.0,7.0,16.3,111604.90000000002,1.0,0.0,0.0,debt consolidation,1,71258.0,27569.0,12592.0,722.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0990314766610752,0.2470232041783111,0.0,0.2099982072103498
Home Mortgage,992845.0,10,0.0,17.0,21.2,1132054.0,0.0,0.0,0.0,debt consolidation,0,294291.0,294291.0,25483.0,739.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.29641182661946225,0.2599619806122323,0.0,0.3079997381262936
Rent,1168386.0,0,0.0,9.0,10.7,642092.0,0.0,0.0,0.0,debt consolidation,0,312026.0,296685.0,13006.0,731.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.26705729099800923,0.4620599540252799,0.0,0.13357914250941041
Home Mortgage,1630029.0,10,0.0,10.0,17.3,697114.0,0.0,0.0,0.0,debt consolidation,1,260680.0,260680.0,6181.0,714.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1599235351027497,0.3739417082428412,0.0,0.045503484907323734
Home Mortgage,866476.0,1,0.0,15.0,12.9,239800.0,0.0,0.0,0.0,debt consolidation,1,349701.0,130891.0,11770.0,701.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4035899436337533,0.5458340283569642,0.0,0.16300509188944645
Home Mortgage,1670860.0,6,0.0,8.0,16.0,233420.0,0.0,61.0,0.0,debt consolidation,1,333564.0,122569.0,23949.0,705.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.19963611553331817,0.5251006768914404,3.8125,0.1720000478795351
Rent,573762.0,1,0.0,7.0,16.6,197120.0,0.0,54.0,0.0,debt consolidation,0,177166.0,114741.0,12671.0,735.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3087795985094865,0.5820870535714285,3.2530120481927707,0.26500883641649325
Rent,1168386.0,0,0.0,10.0,15.6,697642.0,0.0,0.0,0.0,debt consolidation,0,398259.0,398259.0,28077.0,731.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3408625231729925,0.5708644261670026,0.0,0.28836702938926007
Rent,1280125.0,10,0.0,8.0,13.3,362934.0,0.0,0.0,0.0,debt consolidation,0,318582.0,204991.0,16428.0,741.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.24886788399570353,0.564816192475767,0.0,0.15399746118543112
Home Mortgage,1168386.0,10,0.0,11.0,11.3,693418.0,1.0,0.0,1.0,debt consolidation,0,266398.0,147915.0,21461.0,731.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.22800512844214155,0.2133128935216565,0.0,0.2204168827767536
Rent,1269333.0,0,0.0,7.0,15.8,235510.0,0.0,0.0,0.0,debt consolidation,0,349701.0,171874.0,5183.0,747.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2754998097425971,0.7297949131671692,0.0,0.04899896244720652
Rent,2157773.0,4,0.0,10.0,22.2,660374.0,0.0,13.0,0.0,debt consolidation,0,494475.0,494475.0,39559.0,743.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.22915987919025774,0.748780236653775,0.5855855855855856,0.2199990453119953
Home Mortgage,1408527.0,2,0.0,12.0,17.5,700062.0,0.0,21.0,0.0,other,1,525998.0,174135.0,9320.0,731.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.37343835084453475,0.24874225425748006,1.2,0.07940209878830863
Home Mortgage,613966.0,6,0.0,5.0,16.3,111604.90000000002,0.0,0.0,0.0,buy a car,0,148632.0,29982.0,6498.0,744.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24208506659977913,0.2686441186722088,0.0,0.12700377545336386
Rent,1168386.0,10,0.0,8.0,13.1,797874.0,0.0,0.0,0.0,debt consolidation,0,360392.0,360392.0,35030.0,731.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3084528571893193,0.451690367150703,0.0,0.3597783609183951
Rent,1140000.0,10,0.0,9.0,16.0,778448.0,0.0,0.0,0.0,debt consolidation,1,462000.0,414808.0,19950.0,725.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4052631578947368,0.5328653937064518,0.0,0.21
Home Mortgage,1631644.0,8,0.0,9.0,12.1,862422.0,0.0,0.0,0.0,other,0,351670.0,155667.0,4773.0,718.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.21553108398645782,0.18049980172119914,0.0,0.03510324556091893
Home Mortgage,1435127.0,0,0.0,10.0,21.2,1643906.0,0.0,68.0,0.0,debt consolidation,1,777483.2999999999,766592.9999999992,28487.0,674.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5417522630401351,0.4663241085560848,3.207547169811321,0.23819773441653597
Own Home,1168386.0,10,0.0,17.0,31.9,1706333.1999999997,0.0,0.0,0.0,other,0,448184.0,136401.0,29320.0,731.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3835924086731611,0.07993808008892989,0.0,0.3011333583250741
Rent,808298.0,5,0.0,12.0,15.7,632170.0,0.0,0.0,0.0,debt consolidation,0,349701.0,251693.0,8622.0,746.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.432638705032055,0.39814132274546404,0.0,0.12800229618284345
Rent,1164852.0,3,0.0,19.0,12.7,276540.0,0.0,0.0,0.0,debt consolidation,0,175340.0,92663.0,12134.0,729.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.15052556032869413,0.3350799161061691,0.0,0.1250012877172379
Rent,1168386.0,1,0.0,7.0,9.0,415250.0,0.0,0.0,0.0,debt consolidation,0,185402.0,185402.0,7735.0,731.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.15868214785182294,0.4464828416616496,0.0,0.0794429238282554
Rent,985815.0,8,0.0,11.0,18.1,227876.0,3.0,51.0,2.0,debt consolidation,0,108504.0,104899.0,10351.0,729.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11006527593919752,0.4603336902525935,2.8176795580110494,0.12599930007151444
Rent,1168386.0,10,0.0,6.0,31.9,263934.0,0.0,70.0,0.0,debt consolidation,1,111848.0,60173.0,16918.0,731.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.09572863762489452,0.22798502655967023,2.19435736677116,0.1737576451617873
Have Mortgage,1112298.0,0,0.0,7.0,9.0,111604.90000000002,0.0,0.0,0.0,take a trip,0,128788.0,42921.0,15906.0,704.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.11578551790976878,0.38457988851743957,0.0,0.171601495282739
Home Mortgage,1001357.0,6,0.0,6.0,16.5,655292.0,0.0,0.0,0.0,debt consolidation,0,294291.0,294291.0,16606.0,745.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.29389218830047625,0.4490990276090659,0.0,0.19900195434794984
Rent,1860290.0,3,0.0,18.0,16.4,1120218.0,0.0,0.0,0.0,other,0,697528.0,697528.0,40546.2,749.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3749565927892963,0.6226716585521747,0.0,0.26154760816861883
Home Mortgage,2539103.0,6,0.0,13.0,17.2,1211430.0,0.0,0.0,0.0,debt consolidation,0,636101.0,636101.0,40546.2,742.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2505219362900993,0.5250827534401492,0.0,0.1916245225183854
Home Mortgage,1301614.0,9,0.0,17.0,18.0,1706333.1999999997,0.0,0.0,0.0,debt consolidation,0,777483.2999999999,766592.9999999992,16813.0,748.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5973224780925834,0.44926336778772125,0.0,0.15500447905446624
Home Mortgage,1934884.0,5,0.0,9.0,18.0,769604.0,0.0,51.0,0.0,debt consolidation,0,429381.0,429381.0,19188.0,745.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.22191562905063042,0.5579245949865126,2.8333333333333335,0.11900248283618035
Home Mortgage,1533566.0,7,0.0,11.0,14.8,715462.0,0.0,19.0,0.0,debt consolidation,0,285475.0,285475.0,18147.0,731.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.18615110141982805,0.3990079137676075,1.2837837837837838,0.14199845327817648
Home Mortgage,1375068.0,10,0.0,18.0,31.9,1706333.1999999997,0.0,22.0,0.0,debt consolidation,1,741774.0,678585.0,17991.0,729.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5394453219768041,0.39768610257363574,0.6896551724137931,0.15700459904528358
Home Mortgage,1041675.0,10,0.0,13.0,19.4,551320.0,0.0,16.0,0.0,debt consolidation,0,167599.0,167599.0,12648.0,737.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1608937528499772,0.3039958644707248,0.8247422680412372,0.14570379436964503
Rent,1304141.0,10,0.0,6.0,12.9,132418.0,1.0,0.0,1.0,other,0,176616.0,97546.0,14237.0,673.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.13542707421973543,0.7366521167817064,0.0,0.13100117241923995
Rent,601369.0,10,0.0,6.0,16.9,111604.90000000002,0.0,14.0,0.0,debt consolidation,0,165924.0,0.0,9021.0,738.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.27591046429064353,0.0,0.8284023668639054,0.1800092788288056
Home Mortgage,1642075.0,10,0.0,12.0,12.9,384736.0,0.0,14.0,0.0,debt consolidation,0,276562.0,275462.0,25863.0,671.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16842227060274348,0.715976669716377,1.0852713178294573,0.18900232936985217
