Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Have Mortgage,Home Mortgage,Own Home,Rent,business loan,buy a car,buy house,debt consolidation,educational expenses,home improvements,major purchase,medical bills,moving,other,renewable energy,small business,take a trip,vacation,wedding,Loan-to-Income Ratio,Credit Utilization Ratio,Delinquency Ratio,Debt-to-Income Ratio
Own Home,-0.19303811528362164,1.0756473140670004,-0.12101820354380821,0.24914054031751484,1.0897203860557498,1.452819638923864,-0.36200903491510206,1.9950961452715692,-0.34379580489048017,debt consolidation,-0.5915167019106974,2.2193344920508977,2.475248884255103,1.9552356864883798,0.31653685442339397,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3598124566489043,0.7248654560908973,1.0658916003141023,2.536541226745576
Rent,0.15175024987333613,1.0756473140670004,-0.12101820354380821,-1.829596971602417,1.844446985220932,1.4894440756924894,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,other,-0.5915167019106974,2.2193344920508977,2.475248884255103,0.44251090480901695,-0.22317071574008474,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7668497163552004,0.689697928095051,-0.6517982060073902,0.28011753992950567
Home Mortgage,-0.59792687934443,-1.121868394469893,-0.12101820354380821,2.0969072175796764,-0.3568389290108489,0.3536727004213841,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,other,-0.5915167019106974,-0.396310714536093,0.1016215222464474,-0.06937420752795918,0.8562444245868726,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.022056642686866135,-0.37187093064666493,-0.6517982060073902,0.4945324522243254
Rent,-0.49970970827442046,0.5262683869327771,-0.12101820354380821,-0.9057136329713361,-0.5612440496180858,-0.6350319040401133,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.0567142370064208,-0.34231368494002656,-1.1570930067688208,0.46372982810434266,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2900274012035376,0.5769911272066872,-0.6517982060073902,-1.2160861592639953
Home Mortgage,-1.0464283222558204,1.0756473140670004,-0.12101820354380821,0.24914054031751484,0.22492949117897876,-0.15203421179624782,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.5216635121076392,-0.014709766196331069,-0.3895124347647744,0.7581157754662401,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4244644285410231,0.11210788023921871,-0.6517982060073902,0.7102023213459262
Rent,-0.19303811528362164,1.0756473140670004,-0.12101820354380821,-0.44377196365579574,0.08341825383550737,-0.9686867305339478,-0.36200903491510206,-0.43338174972710974,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.012995054593628149,-0.9504261137191313,0.4550634070810378,0.31653685442339397,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.016227393840371623,-0.3336146514428618,-0.42471071178191533,0.6691036856918272
Rent,-1.2299561480530656,0.25157892336566545,-0.12101820354380821,-0.674742798313566,-0.6398614036977923,-0.8781084977912029,1.8346477303464392,-0.6983066109996929,2.6336505423134478,debt consolidation,-0.5915167019106974,-0.0567142370064208,-0.5806990106925266,-1.1484940485194837,-0.27223504030040097,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.7416006344229722,0.8400160276253966,-0.6517982060073902,-0.6433422704915454
Own Home,0.03353506996452317,1.0756473140670004,-0.12101820354380821,0.01816970565974464,0.3821641993383917,0.5809718178809048,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,1.6905693394114378,-0.0567142370064208,1.8523135977550675,0.8698890136611284,-0.8119426104638796,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.21354092821274367,1.2860927596161058,-0.6517982060073902,0.8780076291823294
Home Mortgage,0.47590237186684786,1.0756473140670004,-0.12101820354380821,1.8659363829219062,1.0897203860557498,1.6567887832440482,-0.36200903491510206,-0.08014860136366553,-0.34379580489048017,debt consolidation,-0.5915167019106974,0.7173073645349978,1.13509367828326,1.0377169574240528,0.07121523162181273,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.133571527725272,-0.3795064073415662,-0.2575743160319657,0.5784869503535156
Home Mortgage,-0.19303811528362164,-1.6712473216041164,-0.12101820354380821,0.480111374975285,0.4607815534180981,-1.1447762983054728,-0.36200903491510206,-0.21261103199995712,-0.34379580489048017,other,-0.5915167019106974,-1.4945310433452121,-1.0122505645931563,-0.37014006905362407,0.31653685442339397,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.5391458343062052,0.3273884117504875,-0.2830513701460237,-0.3581223012799562
Rent,1.1705140618529444,-0.8471789309027813,-0.12101820354380821,-1.1366844676291064,-1.2373532947035615,0.4802028873367204,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,take a trip,-0.5915167019106974,1.0112798930334304,1.4079093127926146,0.40435920499011896,-0.12504206661945225,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.09139456702702953,0.9697202918443776,-0.6517982060073902,-0.42783527077100725
Rent,-0.19303811528362164,-1.6712473216041164,-0.12101820354380821,-0.44377196365579574,2.0960225182759924,2.018946525923635,-0.36200903491510206,0.7146259824540839,-0.34379580489048017,buy a car,-0.5915167019106974,-0.5648293544971958,-0.05476900826493301,-1.0603300168136365,0.31653685442339397,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5631093910637003,-1.2866363897908022,0.06562470568583004,-1.2172813702731249
Home Mortgage,-0.19303811528362164,-0.023110540201446223,-0.12101820354380821,-0.674742798313566,-0.5612440496180858,-0.44497797651478804,-0.36200903491510206,-0.08014860136366553,-0.34379580489048017,other,1.6905693394114378,1.6339363953340629,-0.28902644958881835,0.10853527349280874,0.31653685442339397,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7452391122588238,0.17320934157039936,0.02789815601920383,0.23774013193412394
Rent,-0.19303811528362164,-0.2978000037685579,-0.12101820354380821,0.480111374975285,-0.010922571060140605,0.023949310642825804,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.7370883601922883,-0.2146307143185576,-0.6861270750666213,0.31653685442339397,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7439534932654054,-0.448142045624759,-0.6517982060073902,-0.7514677894041378
Rent,0.23106859344142688,-0.023110540201446223,-0.12101820354380821,0.9420530442908254,-0.07381645432390554,2.073210698480539,-0.36200903491510206,2.6132541549075965,-0.34379580489048017,debt consolidation,-0.5915167019106974,-1.2752913414465223,-1.019568177898428,-0.7460232670102799,1.2487590210694026,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.4187351750528148,-1.881219370153668,2.348079203505276,-1.030378993686666
Home Mortgage,-0.7834403230405637,0.25157892336566545,13.096989465076021,0.24914054031751484,-1.6461635359180349,-0.6130986255233093,6.227961260869522,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.984181283452907,-0.5178425887113479,0.4072255244065647,0.12027955618212896,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.639599559189553,0.039712680245426096,-0.6517982060073902,1.6086021432187994
Rent,-1.0488039722419902,1.0756473140670004,-0.12101820354380821,0.480111374975285,0.8853152654485129,-0.6083912473510708,-0.36200903491510206,2.171712719453291,-0.34379580489048017,debt consolidation,1.6905693394114378,-0.6084421253670584,-0.3305867405405529,-0.30421472247537285,-2.6273226191955805,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2788229905390759,0.5200135973129804,1.2789245824497073,0.8899832883995424
Rent,0.1465380028887544,1.0756473140670004,-0.12101820354380821,2.0969072175796764,-0.48262669553837934,0.3878658539581941,-0.36200903491510206,-0.25676517554538764,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.2861215618320726,0.20388047740985749,-0.8632458472828525,-0.17410639117976848,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5012750877282055,-0.28424057681516063,-0.18248405127474202,-1.1213946016668237
Own Home,-0.19303811528362164,-0.5724894673356696,-0.12101820354380821,2.0969072175796764,-1.1272889989919723,0.06248773633862529,-0.36200903491510206,0.5380094082723619,-0.34379580489048017,debt consolidation,1.6905693394114378,-0.1785075684669583,0.17470383974396708,-0.3858554065437919,0.31653685442339397,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15753398283650719,0.06641473002420235,1.1565682617697863,-0.37768499524672067
Home Mortgage,-0.19303811528362164,1.0756473140670004,-0.12101820354380821,-0.21280112899802556,-1.3631410612310917,-0.5873373691521574,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.9003715522412349,-0.4906360777045691,-0.5650497893719321,0.31653685442339397,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9153744425015101,0.04358483747371542,-0.6517982060073902,-0.6007489207922762
Have Mortgage,0.11650553216806915,1.0756473140670004,-0.12101820354380821,1.4039947136063657,-0.4197328122746141,2.6049685518799213,1.8346477303464392,0.8470884130903755,-0.34379580489048017,take a trip,-0.5915167019106974,1.575367482105388,1.9314001107851175,1.6416208068889928,0.21840820530276145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2279122110108418,-0.3587264149196173,0.9481364123993651,1.620645293043491
Home Mortgage,-0.19303811528362164,1.0756473140670004,-0.12101820354380821,-0.21280112899802556,0.5236754366818631,1.189982402735465,1.8346477303464392,-0.6983066109996929,2.6336505423134478,debt consolidation,1.6905693394114378,2.201290818773972,1.629220207499481,1.1019620477926635,0.31653685442339397,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.340869517317405,0.32175638970554327,-0.6517982060073902,1.4743730694180623
Home Mortgage,0.8390931600510023,1.0756473140670004,-0.12101820354380821,-1.1366844676291064,1.4513602148223996,-0.7873750767570656,-0.36200903491510206,-0.43338174972710974,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.0567142370064208,-0.7107273701938902,0.5711987627473725,-0.075977742059136,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.6572414964440492,-0.024879860638056323,-0.49707925389772606,-0.11632891217096358
Own Home,-0.19303811528362164,-0.2978000037685579,-0.12101820354380821,1.6349655482641359,-0.010922571060140605,1.9962890353803329,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,1.341746260179708,1.7145923627276491,0.6218041262377242,0.31653685442339397,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4384867166382704,-0.18896274520697326,-0.6517982060073902,0.8766650990373066
Home Mortgage,-0.19303811528362164,0.5262683869327771,-0.12101820354380821,0.7110822096330552,0.09914172465144833,-0.8130846036977534,-0.36200903491510206,0.5821635518177923,-0.34379580489048017,home improvements,1.6905693394114378,-0.1945437879865101,-0.8423505941335824,0.7172822143855363,0.31653685442339397,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.1743694203221735,-0.4025606202112824,0.43992188655251346,0.9955176925712323
Rent,-0.19303811528362164,-0.2978000037685579,-0.12101820354380821,-0.674742798313566,-0.1681572792195535,-0.9798602875142064,-0.36200903491510206,-0.12430274490909606,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.026690220168719823,-0.7751786566133974,0.12494248118694623,0.31653685442339397,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0018496844548029228,0.5732804198922099,-0.11346726381405844,0.25816407657866947
Rent,-1.1307107105711318,-0.8471789309027813,-0.12101820354380821,-1.1366844676291064,0.6494632032093935,-0.7496643219486927,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,1.6905693394114378,-0.7451596757235291,-0.4155836335479378,-0.8271697580758635,-0.4194280139813497,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.17606749635027147,0.8019313446365011,-0.6517982060073902,-0.05636501637014383
Home Mortgage,0.46625794207224763,-0.8471789309027813,-0.12101820354380821,0.24914054031751484,-1.2059063530716787,0.7110713354982682,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.6257872068646493,-0.11133978804799383,0.2637118763831452,0.8562444245868726,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9419055092092556,-0.8673977397334767,-0.6517982060073902,-0.15228029219440695
Rent,-0.6629913229955013,-0.8471789309027813,-0.12101820354380821,-0.674742798313566,-1.3474175904151504,-0.08064759775570648,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.5056698572052594,-0.4053577380315968,-0.45573429714472685,0.9543730737075051,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.09381738184148453,-0.62348096319702,-0.6517982060073902,-0.020584984807242555
Home Mortgage,1.875479330883244,1.0756473140670004,-0.12101820354380821,1.8659363829219062,2.1746398723556988,2.556673955598582,-0.36200903491510206,-0.3450734626362487,-0.34379580489048017,debt consolidation,1.6905693394114378,2.1737834349265657,0.012778191476035133,-0.3814076695182727,-0.8610069350241959,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.22104830938223055,-1.3552678294713558,-0.4752536963900931,-1.2040677664775323
Home Mortgage,-0.19303811528362164,1.0756473140670004,-0.12101820354380821,-0.9057136329713361,-0.07381645432390554,-0.7164540275907018,1.8346477303464392,2.436637580725874,2.6336505423134478,debt consolidation,-0.5915167019106974,-0.983478967269569,-0.5695349596242277,-1.381851984458391,0.31653685442339397,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0026237900549644,0.196100351877693,2.188085741664601,-1.617516863819564
Rent,-0.19303811528362164,-0.023110540201446223,-0.12101820354380821,-0.9057136329713361,-0.010922571060140605,-1.1447762983054728,-0.36200903491510206,-0.12430274490909606,-0.34379580489048017,small business,1.6905693394114378,-1.2239052073656227,-1.1161981997500907,0.05961016621209757,0.31653685442339397,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.2550324659349574,-0.5050735521409718,-0.14337453838035463,0.17683740543381984
Rent,0.4649460159604822,1.0756473140670004,-0.12101820354380821,-0.9057136329713361,0.1777590787311548,-0.3288971345532122,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,home improvements,-0.5915167019106974,0.5734389584936307,-1.2962302501708098,-0.4826183964989762,1.15063037194877,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.025716020068406273,-2.0298528568760674,-0.6517982060073902,-0.8650663045478986
Rent,-1.0306497514521544,-1.121868394469893,-0.12101820354380821,-0.9057136329713361,-0.27822157493114247,-1.1447762983054728,1.8346477303464392,-0.6983066109996929,-0.34379580489048017,debt consolidation,1.6905693394114378,-1.5381916994093932,-1.173800950640305,-0.5096013344537927,-0.12504206661945225,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.3367017044374878,-0.9663837018064557,-0.6517982060073902,0.434668845128368
Home Mortgage,-0.5206296111377077,1.0756473140670004,-0.12101820354380821,1.4039947136063657,0.4922284950499806,1.2546441908156654,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.35152741669400034,0.14318181319818196,0.7645270654566069,0.7090514509059239,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04853693409323162,-0.9092822027880282,-0.6517982060073902,1.6086726247953225
Rent,-0.19303811528362164,-1.6712473216041164,-0.12101820354380821,-0.44377196365579574,-1.158735940623855,0.10257804494834959,-0.36200903491510206,-0.6983066109996929,-0.34379580489048017,debt consolidation,-0.5915167019106974,-0.2571669810008182,0.15500257315285138,-0.46868215381901607,0.31653685442339397,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.24011364699977675,-0.017382007324644448,-0.6517982060073902,-0.48078900495834487
